"Scenario","Type","k","tau2","bias_type","true_mu","Method","Mean_Bias","RMSE","Coverage","MCSE_Coverage","Mean_SE","Empirical_SE","SE_Ratio","Mean_k_final","N_sim"
"Base_k10","base",10,0.05,"none",0.3,"HKSJ",-0.00125620848248485,0.0927365586085918,0.947,0.00708456067798138,0.0896014255601731,0.0927744487515527,0.965798522825215,10,1000
"Base_k10","base",10,0.05,"none",0.3,"PETPEESE",-0.056297221269855,0.39488805739474,0.925,0.00832916562447884,0.426359374371402,0.391050023489522,1.09029369328967,10,1000
"Base_k10","base",10,0.05,"none",0.3,"REML",-0.00125620848248485,0.0927365586085918,0.926,0.00827792244467173,0.090350382074597,0.0927744487515527,0.973871397679255,10,1000
"Base_k10","base",10,0.05,"none",0.3,"TGEP",-0.0196737996266663,0.0949180688292834,0.903,0.00935900635751467,0.0813654085928828,0.092903242198221,0.875808062965976,10,1000
"Base_k10","base",10,0.05,"none",0.3,"TrimFill",-0.000481260104409074,0.104221011939557,0.895,0.00969407035254026,0.0911229039365115,0.104272049844606,0.873895776215295,10,1000
"Base_k20","base",20,0.05,"none",0.3,"HKSJ",-0.000928402593853407,0.0685317102897208,0.936,0.0077397674383666,0.0648811468267976,0.068559709871583,0.946345119434205,20,1000
"Base_k20","base",20,0.05,"none",0.3,"PETPEESE",-0.0539014247756192,0.255952936081908,0.928,0.00817410545564467,0.273598639162593,0.25033819346479,1.09291608833582,20,1000
"Base_k20","base",20,0.05,"none",0.3,"REML",-0.000928402593853407,0.0685317102897208,0.922,0.00848033018225116,0.064933347370962,0.068559709871583,0.947106507489407,20,1000
"Base_k20","base",20,0.05,"none",0.3,"TGEP",-0.0163442738230748,0.0702334962638958,0.882,0.0102017645532525,0.0571984224799993,0.068339439488751,0.836975294323484,20,1000
"Base_k20","base",20,0.05,"none",0.3,"TrimFill",-0.0018633384262836,0.0851580506014259,0.866,0.0107723720693262,0.0661261733637265,0.0851802631445426,0.776308629752844,20,1000
"Base_k5","base",5,0.05,"none",0.3,"HKSJ",-0.00129009485209633,0.134908643915112,0.931,0.00801492358042171,0.124721397046316,0.13496997722842,0.924067704592117,5,1000
"Base_k5","base",5,0.05,"none",0.3,"PETPEESE",-0.0585691884410726,0.734501355775612,0.899,0.00952885092757778,0.735004054741499,0.732528832396281,1.00337901013005,5,1000
"Base_k5","base",5,0.05,"none",0.3,"REML",-0.00129009485209633,0.134908643915112,0.893,0.00977501918156686,0.128643692565712,0.13496997722842,0.953128208268109,5,1000
"Base_k5","base",5,0.05,"none",0.3,"TGEP",-0.0225598326967569,0.135556636246169,0.88,0.0102761860629321,0.11839448532743,0.133733092834907,0.885304323841428,5,1000
"Base_k5","base",5,0.05,"none",0.3,"TrimFill",-0.00210449142296046,0.146992484686915,0.856,0.0111024321659716,0.127885717448289,0.14705096278481,0.869669365139981,5,1000
"Combined_hetero_bias","combined",20,0.3,"significance",0.3,"HKSJ",0.131751015754694,0.230186767892956,0.867,0.0107382959542006,0.181001850160604,0.188847243140729,0.958456407148718,13.086,1000
"Combined_hetero_bias","combined",20,0.3,"significance",0.3,"PETPEESE",-0.0508771323376629,0.787529221003375,0.919,0.00862780389206894,0.866404154558864,0.786277319628795,1.10190658299529,13.086,1000
"Combined_hetero_bias","combined",20,0.3,"significance",0.3,"REML",0.131751015754694,0.230186767892956,0.827,0.011961229033841,0.180786347859674,0.188847243140729,0.95731526101735,13.086,1000
"Combined_hetero_bias","combined",20,0.3,"significance",0.3,"TGEP",0.125784689265224,0.225662593149832,0.715,0.0142749781085647,0.141201400106953,0.187448539200513,0.753280877563471,13.086,1000
"Combined_hetero_bias","combined",20,0.3,"significance",0.3,"TrimFill",0.0906653456680551,0.210579863168531,0.868,0.0107040179372047,0.181624483342942,0.190157391916985,0.955127126597486,13.086,1000
"Hetero_tau0.01","hetero",15,0.01,"none",0.3,"HKSJ",-0.00298598751408753,0.056884625710272,0.935,0.0077958322198467,0.053462808304413,0.0568346258495551,0.940673181273903,15,1000
"Hetero_tau0.01","hetero",15,0.01,"none",0.3,"PETPEESE",-0.0406945768802705,0.225502918575409,0.948,0.00702111102319284,0.245047775377595,0.221911609567919,1.1042584741498,15,1000
"Hetero_tau0.01","hetero",15,0.01,"none",0.3,"REML",-0.00298598751408753,0.056884625710272,0.934,0.00785136930732467,0.0553700409538148,0.0568346258495551,0.974230763837222,15,1000
"Hetero_tau0.01","hetero",15,0.01,"none",0.3,"TGEP",-0.0138502069088468,0.0585558159506531,0.932,0.00796090447122687,0.0536464627771629,0.0569227155516554,0.942443842625193,15,1000
"Hetero_tau0.01","hetero",15,0.01,"none",0.3,"TrimFill",-0.00246844471788899,0.068344452558492,0.89,0.00989444288477123,0.0559093192563467,0.0683340362975245,0.818176743035039,15,1000
"Hetero_tau0.10","hetero",15,0.1,"none",0.3,"HKSJ",-2.63892198626096e-05,0.0997338496317063,0.934,0.00785136930732467,0.0944380418576438,0.0997837504949163,0.946427062414888,15,1000
"Hetero_tau0.10","hetero",15,0.1,"none",0.3,"PETPEESE",-0.0535059211022716,0.372252387963995,0.921,0.00852988862764339,0.4247467089952,0.36857129778843,1.15241396045716,15,1000
"Hetero_tau0.10","hetero",15,0.1,"none",0.3,"REML",-2.63892198626096e-05,0.0997338496317063,0.914,0.00886588969026797,0.0945071431014184,0.0997837504949163,0.947119572402054,15,1000
"Hetero_tau0.10","hetero",15,0.1,"none",0.3,"TGEP",-0.0222368626395915,0.10216878046757,0.866,0.0107723720693262,0.0808815684660685,0.0997694120347329,0.810685026768636,15,1000
"Hetero_tau0.10","hetero",15,0.1,"none",0.3,"TrimFill",-0.00132583477231802,0.110441939166979,0.889,0.00993373041711924,0.0953968945199821,0.110489239118931,0.863404393773559,15,1000
"Hetero_tau0.50","hetero",15,0.5,"none",0.3,"HKSJ",-0.00521678643979218,0.187325179003303,0.944,0.00727076337120113,0.186709887505945,0.187346220763311,0.996603436916027,15,1000
"Hetero_tau0.50","hetero",15,0.5,"none",0.3,"PETPEESE",-0.0562154559930844,0.737229274495961,0.945,0.00720936890441875,0.83978895169467,0.735450687262392,1.14186983062136,15,1000
"Hetero_tau0.50","hetero",15,0.5,"none",0.3,"REML",-0.00521678643979218,0.187325179003303,0.927,0.00822623850857729,0.186790300272973,0.187346220763311,0.997032657034271,15,1000
"Hetero_tau0.50","hetero",15,0.5,"none",0.3,"TGEP",-0.0343239366459125,0.179818344144044,0.897,0.00961202372032029,0.156143657476908,0.176600373600366,0.884163800413301,15,1000
"Hetero_tau0.50","hetero",15,0.5,"none",0.3,"TrimFill",-0.0025236113399418,0.201742324299462,0.914,0.00886588969026797,0.187819002997674,0.201827478631343,0.930591831555028,15,1000
"Hetero_tau1.00","hetero",15,1,"none",0.3,"HKSJ",-0.0149744235744559,0.269430922270073,0.939,0.00756828910652864,0.259295193523575,0.269149084604905,0.963388725264309,15,1000
"Hetero_tau1.00","hetero",15,1,"none",0.3,"PETPEESE",-0.0942955793714789,1.04009539089408,0.952,0.00675988165576884,1.16541663089245,1.03633042347348,1.12456085867508,15,1000
"Hetero_tau1.00","hetero",15,1,"none",0.3,"REML",-0.0149744235744559,0.269430922270073,0.915,0.00881901355027874,0.259311130444284,0.269149084604905,0.963447937506224,15,1000
"Hetero_tau1.00","hetero",15,1,"none",0.3,"TGEP",-0.0418058895401416,0.252285281299633,0.871,0.0105999528300837,0.214794742812819,0.248921860938419,0.862900277231809,15,1000
"Hetero_tau1.00","hetero",15,1,"none",0.3,"TrimFill",-0.0166702193678433,0.29241924162332,0.896,0.00965318600255895,0.260740751943021,0.292089768891135,0.892673348104164,15,1000
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.00229679509765978,0.0930272306044283,0.951,0.00682634602111555,0.0901367722717227,0.093045407269907,0.96873961774656,10,1000
"Null_k10_tau0.05","null",10,0.05,"none",0,"PETPEESE",0.0162333267173536,0.397338310994879,0.921,0.00852988862764339,0.44138347565732,0.397205217076039,1.11122275509494,10,1000
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.00229679509765978,0.0930272306044283,0.923,0.00843036179532053,0.0906368332897775,0.093045407269907,0.974113993900389,10,1000
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.00179256605036971,0.0838431715838405,0.933,0.00790638982089803,0.084191703145338,0.0838659503363445,1.00388420816418,10,1000
"Null_k10_tau0.05","null",10,0.05,"none",0,"TrimFill",0.00433486206940974,0.103366126818861,0.897,0.00961202372032029,0.0914481325654994,0.103326867686764,0.885037305521786,10,1000
"Null_k10_tau0.20","null",10,0.2,"none",0,"HKSJ",-0.00126785088245958,0.158423666883528,0.946,0.00714730718522718,0.150665870002652,0.158497862305201,0.950586132906526,10,1000
"Null_k10_tau0.20","null",10,0.2,"none",0,"PETPEESE",0.0340021966519465,0.644212121301263,0.923,0.00843036179532053,0.717466919912253,0.64363605805575,1.11470902062188,10,1000
"Null_k10_tau0.20","null",10,0.2,"none",0,"REML",-0.00126785088245958,0.158423666883528,0.904,0.00931579304192617,0.150550568651652,0.158497862305201,0.949858669776594,10,1000
"Null_k10_tau0.20","null",10,0.2,"none",0,"TGEP",-0.000865925118785945,0.141784623271685,0.886,0.0100500746265886,0.132445247206085,0.141852923205002,0.93368006956528,10,1000
"Null_k10_tau0.20","null",10,0.2,"none",0,"TrimFill",-0.000240000155167496,0.170571414621565,0.883,0.010164201887015,0.151135816466255,0.170656595417485,0.885613685756035,10,1000
"Null_PubBias","null_bias",20,0.05,"significance",0,"HKSJ",-0.00157628754310129,0.16308477676565,0.934,0.00785136930732467,0.150329642211679,0.16315875860889,0.92137034807942,7.427,1000
"Null_PubBias","null_bias",20,0.05,"significance",0,"PETPEESE",0.00142570084266734,0.805351036103205,0.895,0.00969407035254026,0.824602390742074,0.805752751298957,1.02339382572722,7.427,1000
"Null_PubBias","null_bias",20,0.05,"significance",0,"REML",-0.00157628754310129,0.16308477676565,0.885,0.0100883596287999,0.150652434892639,0.16315875860889,0.923348744358675,7.427,1000
"Null_PubBias","null_bias",20,0.05,"significance",0,"TGEP",-0.000269835834047704,0.156354487817222,0.859,0.0110054077616415,0.136619860618497,0.156432490785584,0.873347090060441,7.427,1000
"Null_PubBias","null_bias",20,0.05,"significance",0,"TrimFill",-0.000593556556489779,0.162052762490307,0.883,0.010164201887015,0.150877779984761,0.162132762123847,0.930581691253187,7.427,1000
"OneSided_k10","onesided",10,0.05,"onesided",0.3,"HKSJ",0.0572492480155023,0.103660694296679,0.916,0.00877177291087725,0.084180597893006,0.0864611975536506,0.973622853659534,8.915,1000
"OneSided_k10","onesided",10,0.05,"onesided",0.3,"PETPEESE",-0.0433521078398829,0.384155869809631,0.93,0.00806845710157772,0.425262088782857,0.38189287663461,1.11356381540927,8.915,1000
"OneSided_k10","onesided",10,0.05,"onesided",0.3,"REML",0.0572492480155023,0.103660694296679,0.882,0.0102017645532525,0.0864026823959913,0.0864611975536506,0.999323220597043,8.915,1000
"OneSided_k10","onesided",10,0.05,"onesided",0.3,"TGEP",0.0384249771595138,0.0956967919266417,0.882,0.0102017645532525,0.0799465683649168,0.0876874346844708,0.911722057471424,8.915,1000
"OneSided_k10","onesided",10,0.05,"onesided",0.3,"TrimFill",0.0584895576294375,0.114701185729776,0.853,0.0111978122863352,0.0868178712881971,0.0987171653506327,0.879460739982042,8.915,1000
"OneSided_k20","onesided",20,0.1,"onesided",0.3,"HKSJ",0.0882490888194283,0.117028260436553,0.818,0.0122014753206323,0.0767523636329272,0.0769001020092644,0.998078827303514,17.005,1000
"OneSided_k20","onesided",20,0.1,"onesided",0.3,"PETPEESE",-0.0137875623988013,0.314932530615464,0.9,0.00948683298050514,0.330926322253919,0.31478801352087,1.05126722759404,17.005,1000
"OneSided_k20","onesided",20,0.1,"onesided",0.3,"REML",0.0882490888194283,0.117028260436553,0.773,0.0132465467198059,0.0770641383790557,0.0769001020092644,1.0021331099115,17.005,1000
"OneSided_k20","onesided",20,0.1,"onesided",0.3,"TGEP",0.0674189457754077,0.102501898875836,0.774,0.0132258837133857,0.06652030835785,0.0772482512164569,0.861123809410958,17.005,1000
"OneSided_k20","onesided",20,0.1,"onesided",0.3,"TrimFill",0.0901120608898617,0.133052113951074,0.707,0.0143927412260486,0.0781094508730402,0.0979401540881691,0.797522237944647,17.005,1000
"PubBias_k10_mild","pubbias",10,0.05,"significance",0.3,"HKSJ",0.0685008448527473,0.134383415681779,0.905,0.00927227048785787,0.10894804743227,0.115671589343897,0.941873869376536,7.103,1000
"PubBias_k10_mild","pubbias",10,0.05,"significance",0.3,"PETPEESE",-0.00959635660821987,0.584581646395089,0.908,0.00913980306133562,0.5871309517819,0.584795346115784,1.00399388552188,7.103,1000
"PubBias_k10_mild","pubbias",10,0.05,"significance",0.3,"REML",0.0685008448527473,0.134383415681779,0.85,0.0112915897906362,0.110752297111726,0.115671589343897,0.957471905935816,7.103,1000
"PubBias_k10_mild","pubbias",10,0.05,"significance",0.3,"TGEP",0.0526439659994469,0.127929785558295,0.836,0.0117091417277271,0.0992948192729987,0.11665440895212,0.851187881923551,7.103,1000
"PubBias_k10_mild","pubbias",10,0.05,"significance",0.3,"TrimFill",0.0605642444775329,0.142355743762785,0.845,0.0114444309600784,0.111189862384323,0.128894312585693,0.862643666378999,7.103,1000
"PubBias_k10_strong","pubbias",10,0.05,"significance",0.3,"HKSJ",0.144178108118018,0.190212374728227,0.784,0.0130132240432569,0.118698381728054,0.124132306305528,0.956224735210359,5.371,1000
"PubBias_k10_strong","pubbias",10,0.05,"significance",0.3,"PETPEESE",-0.0496520979060473,0.91819898554104,0.889,0.00993373041711924,0.784873473433611,0.917314292777485,0.855621110031041,5.371,1000
"PubBias_k10_strong","pubbias",10,0.05,"significance",0.3,"REML",0.144178108118018,0.190212374728227,0.661,0.0149692685192029,0.124747009757645,0.124132306305528,1.00495200218551,5.371,1000
"PubBias_k10_strong","pubbias",10,0.05,"significance",0.3,"TGEP",0.13436923065692,0.183867219124574,0.658,0.0150011999520038,0.111365368616036,0.125570028084829,0.886878583325661,5.371,1000
"PubBias_k10_strong","pubbias",10,0.05,"significance",0.3,"TrimFill",0.131366981972158,0.189785001672741,0.678,0.0147755202954075,0.123789112498134,0.137039566367526,0.903309283438221,5.371,1000
"PubBias_k20_severe","pubbias",20,0.05,"significance",0.3,"HKSJ",0.207556511274009,0.227158028993483,0.372,0.0152845019545944,0.0838173491920748,0.0923558030571147,0.907548268951118,8.79,1000
"PubBias_k20_severe","pubbias",20,0.05,"significance",0.3,"PETPEESE",-0.0549002660556278,0.525875769751092,0.894,0.00973468027209934,0.513008296984643,0.523263882844415,0.980400738143776,8.79,1000
"PubBias_k20_severe","pubbias",20,0.05,"significance",0.3,"REML",0.207556511274009,0.227158028993483,0.313,0.0146639353517397,0.0887667573262438,0.0923558030571147,0.96113892563252,8.79,1000
"PubBias_k20_severe","pubbias",20,0.05,"significance",0.3,"TGEP",0.20611608749769,0.225155835020695,0.273,0.0140879735945238,0.0780944478575496,0.0906616128609974,0.861383835927165,8.79,1000
"PubBias_k20_severe","pubbias",20,0.05,"significance",0.3,"TrimFill",0.178722525159651,0.213359150716439,0.381,0.0153570504980611,0.087685100076834,0.116593225254186,0.752059992213708,8.79,1000
"PubBias_k20_strong","pubbias",20,0.05,"significance",0.3,"HKSJ",0.149815607653619,0.174968654605611,0.574,0.0156372631876553,0.083815973713949,0.0904294824112329,0.926865569491942,10.553,1000
"PubBias_k20_strong","pubbias",20,0.05,"significance",0.3,"PETPEESE",0.00760494106067274,0.423786883964932,0.867,0.0107382959542006,0.419370146099331,0.423930660718552,0.989242310024261,10.553,1000
"PubBias_k20_strong","pubbias",20,0.05,"significance",0.3,"REML",0.149815607653619,0.174968654605611,0.499,0.0158113566780337,0.0847284356714911,0.0904294824112329,0.936955884433619,10.553,1000
"PubBias_k20_strong","pubbias",20,0.05,"significance",0.3,"TGEP",0.140943244100816,0.167495353344105,0.481,0.0157999683543987,0.0755866227838415,0.0905422179286092,0.834821860045887,10.553,1000
"PubBias_k20_strong","pubbias",20,0.05,"significance",0.3,"TrimFill",0.12777924172627,0.166192825754683,0.565,0.0156772127624779,0.08475535602281,0.106319445731844,0.797176428445441,10.553,1000
"PubBias_k5_strong","pubbias",5,0.05,"significance",0.3,"HKSJ",0.113310359612765,0.202587109091014,0.886,0.0100500746265886,0.136676241704163,0.168019432518932,0.813454965625849,3.321,1000
"PubBias_k5_strong","pubbias",5,0.05,"significance",0.3,"PETPEESE",-0.0538239518318741,1.62714895022265,0.89,0.00989444288477123,1.40921639997152,1.62707223332966,0.866105616643511,3.321,1000
"PubBias_k5_strong","pubbias",5,0.05,"significance",0.3,"REML",0.113310359612765,0.202587109091014,0.782,0.0130566458173606,0.15152518018353,0.168019432518932,0.901831281726634,3.321,1000
"PubBias_k5_strong","pubbias",5,0.05,"significance",0.3,"TGEP",0.10133451937853,0.1965160772344,0.774,0.0132258837133857,0.138248534694735,0.16845848763412,0.820668264545986,3.321,1000
"PubBias_k5_strong","pubbias",5,0.05,"significance",0.3,"TrimFill",0.103538369209909,0.213942990408735,0.763,0.0134473417447464,0.151523276371657,0.18731389628676,0.80892704372392,3.321,1000
